"Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","MP.1","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"Shaun Livingston","PG",30,"GSW",78,3,19.5,2.6,4.9,0.536,0,0.2,0.167,2.6,4.7,0.548,0.538,1,1.2,0.86,0.5,1.6,2.2,3,0.7,0.3,1,1.8,6.3,1520,13.8,0.581,0.032,0.245,3.2,8.5,6,21,1.8,1.3,15.7,14.2,2.9,1.7,4.6,0.145,-0.6,0.1,-0.5,0.6
"Brook Lopez","C",27,"BRK",73,73,33.7,8.1,15.8,0.511,0,0.2,0.143,8.1,15.7,0.515,0.512,4.3,5.5,0.787,2.8,5.1,7.8,2,0.8,1.7,2.4,2.9,20.6,2457,21.7,0.562,0.012,0.348,9.2,17.2,13.1,10.8,1.2,4.1,11.6,27.3,4.5,1.7,6.2,0.121,1.1,0.2,1.3,2.1
"Robin Lopez","C",27,"NYK",82,82,27.1,4.4,8.1,0.539,0,0,0,4.4,8.1,0.54,0.539,1.6,2,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3,2219,17.6,0.574,0.002,0.243,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,3.7,2.1,5.8,0.126,0.1,1.3,1.4,1.9
"Kevin Love","PF",27,"CLE",77,77,31.5,5.3,12.7,0.419,2.1,5.7,0.36,3.3,7,0.467,0.499,3.4,4.1,0.822,1.9,8,9.9,2.4,0.8,0.5,1.8,2.1,16,2424,19,0.553,0.449,0.321,7,28.4,17.8,12.2,1.2,1.4,11.3,23.4,4.7,3.8,8.5,0.169,1.7,0.9,2.5,2.8
"Kyle Lowry","PG",29,"TOR",77,77,37,6.6,15.6,0.427,2.8,7.1,0.388,3.9,8.5,0.461,0.516,5.2,6.4,0.811,0.7,4,4.7,6.4,2.1,0.4,2.9,2.7,21.2,2851,22.2,0.578,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1,13.7,26.1,8,3.7,11.6,0.196,6.2,0.6,6.8,6.3
"Trey Lyles","PF",20,"UTA",80,33,17.3,2.4,5.5,0.438,0.6,1.6,0.383,1.8,3.9,0.461,0.494,0.7,1,0.695,0.7,3,3.7,0.7,0.3,0.2,0.8,1.4,6.1,1382,11.6,0.517,0.294,0.188,5,20.2,12.6,7.1,1,1.1,12.1,17.9,0.6,1.7,2.3,0.079,-2.4,-0.4,-2.8,-0.3
"Shelvin Mack","PG",25,"TOT",52,27,20.3,3.5,8,0.439,0.8,2.4,0.312,2.8,5.6,0.493,0.486,0.9,1.2,0.738,0.3,2.2,2.5,3.6,0.7,0.1,1.8,1.4,8.6,1058,13.6,0.507,0.301,0.147,1.4,12.5,7,30.6,1.7,0.2,17.7,23.3,0.2,1.2,1.3,0.061,-0.5,-0.8,-1.2,0.2
"Ian Mahinmi","C",29,"IND",71,71,25.6,3.7,6.3,0.589,0,0,0.001,3.7,6.3,0.589,0.589,1.9,3.2,0.587,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3,1816,16.6,0.603,0,0.502,8.3,22.1,15.3,8.9,1.8,3.3,15.5,15.7,2.9,3.3,6.2,0.163,-0.9,3.3,2.4,2
"Kendall Marshall","PG",24,"PHI",30,6,13.3,1.4,3.9,0.364,0.5,1.6,0.327,0.9,2.3,0.391,0.432,0.3,0.4,0.692,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1,3.7,400,6.7,0.449,0.415,0.11,0.5,7.3,3.8,28.4,2,0.4,25.8,18.3,-0.7,0.1,-0.5,-0.064,-5.5,-3.3,-8.8,-0.7
"Jarell Martin","PF",21,"MEM",27,0,14.1,2,4.3,0.466,0,0.1,0,2,4.2,0.474,0.466,1.7,2.3,0.726,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,5.7,380,14,0.534,0.017,0.534,11.2,14.7,12.9,6.4,1.1,1.7,11.7,19.2,0.5,0.2,0.8,0.1,-1.6,-1.6,-3.2,-0.1
